"","idx","주차장명"
"1",1,"강화역사관주차장"
"2",3,"갑곳 공영주차장"
"3",8,"용흥궁공원주차장"
"4",9,"관청리주차장"
"5",11,"관청 제1공영주차장"
"6",12,"강화종합전시관(구.토산품센터)주차장"
"7",13,"남산리(구.풍물시장)주차장"
"8",14,"신문리주차장"
"9",16,"강화읍 신문 제1공영주차장"
"10",18,"신문리공영주차장"
"11",20,"온수리 주차장"
"12",21,"온수리 제2공영주차장"
"13",23,"광성보주차장"
"14",26,"석포리 선착장주차장"
"15",27,"창리 제2공영주차장"
"16",30,"양사면 교산리 공영주차장"
"17",31,"강화평화전망대주차장"
"18",32,"고인돌주차장"
"19",33,"동막해변 공영주차장"
"20",34,"동막해수욕장주차장"
"21",64,"경인교대 환승"
"22",65,"경인교대 환승"
"23",99,"임학"
"24",100,"임학"
"25",104,"목수천"
"26",105,"목수천"
"27",114,"작전역 환승 서쪽(남측)"
"28",116,"작전역 환승 동쪽(남측)"
"29",144,"돌산마루2호"
"30",147,"석산길"
"31",148,"석산길"
"32",160,"돌산마루제1호"
"33",161,"돌산마루2호(정기차량전용)"
"34",173,"공단 공구상가주변"
"35",174,"공단 공구상가주변"
"36",177,"남동공단근린공원"
"37",185,"구월도매시장"
"38",205,"구월도매시장"
"39",209,"신성길"
"40",219,"만수복개천4"
"41",220,"만수복개천4"
"42",224,"진솔"
"43",225,"진솔(정기차량전용)"
"44",251,"남동공단1호"
"45",252,"남동공단1(정기차량전용_"
"46",257,"장도로"
"47",261,"소래제3"
"48",267,"장도로"
"49",279,"향촌"
"50",318,"향촌"
"51",333,"백구로"
"52",338,"신성길"
"53",341,"만수어린이공원"
"54",345,"백구로"
"55",346,"만수어린이공원(정기차량전용)"
"56",354,"서창5호"
"57",355,"서창5호"
"58",372,"하모니"
"59",373,"중앙시장"
"60",376,"만석부두 공영"
"61",382,"송현터널 앞"
"62",389,"현대시장 공영"
"63",411,"관교동제3노외주차장"
"64",412,"관교동제2노외주차장"
"65",413,"제물포북광장"
"66",419,"도화1동제4노외주차장"
"67",438,"숭의1,3동제6노상주차장"
"68",444,"용현1,4동제1노상주차장"
"69",452,"용현3동제1노상주차장"
"70",455,"용현5동 제2노외주차장"
"71",473,"용현1,4동제2노상주차장"
"72",474,"주안1동제2노상주차장"
"73",484,"주안5동제2노상주차장"
"74",485,"주안1동제4노상주차장"
"75",486,"주안5동제3노상주차장"
"76",496,"주안6동제3노외주차장"
"77",524,"학익1동 제3노상주차장"
"78",525,"학익1동제2노외주차장"
"79",541,"부개1차"
"80",546,"부개3차"
"81",575,"부평구청역"
"82",586,"희망천3지구"
"83",594,"화랑로"
"84",597,"부평공원앞"
"85",598,"부평공원앞"
"86",611,"삼산해돋이"
"87",612,"충선로311번길"
"88",613,"충선로311번길"
"89",624,"부평삼거리역"
"90",625,"부평삼거리역"
"91",626,"백운남부1차"
"92",627,"백운남부1차"
"93",629,"청천화물"
"94",639,"정서진중앙시장주차장"
"95",640,"인천축산물시장주차장"
"96",643,"검단2주차장"
"97",647,"검단1주차장"
"98",648,"강남시장(장터)주차장"
"99",650,"석남5주차장"
"100",652,"서곶누리주차장"
"101",661,"제6공영주차장(송도)"
"102",662,"제8공영주차장(송도)"
"103",663,"제9공영주차장(송도)"
"104",664,"제7공영주차장(송도)"
"105",665,"제8공영주차장(송도)"
"106",666,"제6공영주차장(송도)"
"107",667,"제7공영주차장(송도)"
"108",669,"제9공영주차장(송도)"
"109",670,"제14공영주차장(송도)"
"110",679,"제14공영주차장(송도)"
"111",680,"제19공영주차장(송도)"
"112",684,"제3공영주차장(송도)"
"113",685,"제4공영주차장(송도)"
"114",686,"제4공영주차장(송도)"
"115",687,"제5공영주차장(송도)"
"116",690,"문학장미공원주차장"
"117",691,"함박로 주차장"
"118",697,"연수역북부공영주차장"
"119",700,"늘봄공원"
"120",701,"늘봄공원지하주차장"
"121",702,"그린타워주차장"
"122",703,"샘말공원"
"123",704,"샘말공원지하주차장"
"124",721,"청학공영주차장(1)"
"125",724,"청학동공영주차장(4)"
"126",726,"대청리 노상주차장"
"127",730,"서포리 해변 주차장"
"128",732,"밧지름주차장"
"129",736,"북포리 공영주차장"
"130",739,"용기포 신항 주차장(건물식)"
"131",740,"백령공영주차장"
"132",742,"사곶해변 주차장"
"133",743,"신도 선착장 주차장"
"134",759,"종합운동장 주차장"
"135",760,"외1리공영주차장"
"136",773,"경동공영주차장"
"137",778,"내동공영주차장"
"138",799,"도원역공영주차장"
"139",800,"도 원 역"
"140",803,"월미로제4노상주차장"
"141",810,"월미도3공영주차장"
"142",815,"월미로제2노상주차장"
"143",840,"제물량로제2노상주차장"
"144",842,"동화마을공영주차장"
"145",878,"동인천공영주차장"
"146",879,"동 인 천"
"147",885,"눈돌마을"
"148",894,"도원로제2노상주차장"
"149",916,"구인천여고"
"150",932,"축항대로제1노상주차장"
"151",935,"축항대로제2노상주차장"
"152",936,"연안부두로제2노상주차장"
"153",940,"연안부두로128번길노상주차장"
"154",943,"연안부두로제1노상주차장"
"155",944,"항동7가공영주차장"
"156",946,"신 포 동"
"157",950,"신포동공영주차장"
