"","위도","경도","500m충전소","1000m충전소","주민등록세대","전기차등록수","교통량"
"1",37.736048,126.5142592,2,1,34667,623,0
"2",37.741713,126.505053,3,4,34667,623,0
"3",37.74883921,126.4867424,5,9,34667,623,0
"4",37.747746,126.4829846,6,8,34667,623,0
"5",37.751756,126.479978,4,4,34667,623,0
"6",37.74190934,126.4883684,10,10,34667,623,0
"7",37.739364,126.4896322,13,3,34667,623,0
"8",37.746913,126.4820872,5,9,34667,623,0
"9",37.74236799,126.4800651,1,21,34667,623,0
"10",37.7465337,126.4791545,5,3,34667,623,0
"11",37.641116,126.4891856,2,1,34667,623,0
"12",37.639165,126.4922173,3,0,34667,623,0
"13",37.664244,126.5249234,2,0,34667,623,0
"14",37.692933,126.3666379,0,3,34667,623,0
"15",37.722351,126.484017,1,2,34667,623,0
"16",37.74232092,126.4986252,3,9,34667,623,0
"17",37.826436,126.4330222,0,0,34667,623,0
"18",37.774084,126.4367956,0,0,34667,623,0
"19",37.594553,126.455815,6,2,34667,623,0
"20",37.592743,126.4581114,6,2,34667,623,0
"21",37.538426,126.72206,16,17,127984,3472,0
"22",37.53842575,126.7220599,16,17,127984,3472,0
"23",37.54877,126.735162,2,66,127984,3472,0
"24",37.54877048,126.735162,2,66,127984,3472,0
"25",37.525046,126.7337377,41,58,127984,3472,0
"26",37.52475605,126.73343,46,54,127984,3472,0
"27",37.52993902,126.7217015,11,26,127984,3472,0
"28",37.52989819,126.7257395,11,32,127984,3472,0
"29",37.4650677,126.7173377,10,15,228442,2196,0
"30",37.4632691,126.7135139,9,33,228442,2196,0
"31",37.46326912,126.7135139,9,33,228442,2196,0
"32",37.465006,126.7182996,10,11,228442,2196,0
"33",37.46506766,126.7173377,10,15,228442,2196,0
"34",37.4069501,126.693402,10,19,228442,2196,0
"35",37.40695006,126.693402,10,19,228442,2196,0
"36",37.40695006,126.693402,10,19,228442,2196,0
"37",37.4444092,126.7043212,24,31,228442,2196,0
"38",37.44440922,126.7043212,24,31,228442,2196,0
"39",37.4602301,126.7215912,10,38,228442,2196,6074801.05263158
"40",37.4492856,126.7277332,2,16,228442,2196,0
"41",37.44928563,126.7277332,2,16,228442,2196,0
"42",37.4485259,126.6952091,2,53,228442,2196,3617278
"43",37.44852592,126.6952091,2,53,228442,2196,3617278
"44",37.4155497,126.7043887,4,14,228442,2196,3606435
"45",37.4155683,126.7043672,4,14,228442,2196,3606435
"46",37.3990002,126.7379909,68,66,228442,2196,0
"47",37.40144005,126.7319075,79,108,228442,2196,0
"48",37.39900219,126.7379876,68,66,228442,2196,0
"49",37.4611274,126.7312856,20,11,228442,2196,0
"50",37.46112738,126.7312856,20,11,228442,2196,0
"51",37.4565407,126.7253838,0,49,228442,2196,0
"52",37.46022171,126.7215969,10,38,228442,2196,6078591.15
"53",37.4535471,126.727695,0,36,228442,2196,0
"54",37.45657664,126.7253864,0,49,228442,2196,0
"55",37.45354611,126.7276999,0,36,228442,2196,0
"56",37.434246,126.7512982,24,87,228442,2196,0
"57",37.43424603,126.7512982,24,87,228442,2196,0
"58",37.40192748,126.7069153,31,42,228442,2196,0
"59",37.473842,126.635601,2,22,28681,159,0
"60",37.491246,126.621762,0,33,28681,159,0
"61",37.474475,126.638902,12,12,28681,159,0
"62",37.477154,126.647347,12,29,28681,159,0
"63",37.4441498,126.6931142,10,37,193561,1041,0
"64",37.44230178,126.6938715,9,39,193561,1041,0
"65",37.46719244,126.656286,1,55,193561,1041,0
"66",37.4640654,126.6672324,4,57,193561,1041,0
"67",37.46142053,126.639916,12,62,193561,1041,0
"68",37.4508289,126.6596307,1,20,193561,1041,0
"69",37.45843461,126.653818,4,26,193561,1041,0
"70",37.45201513,126.6450629,15,74,193561,1041,0
"71",37.45022695,126.6608097,0,25,193561,1041,0
"72",37.4635298,126.6831111,21,57,193561,1041,1343315.2
"73",37.47026053,126.6837689,13,56,193561,1041,0
"74",37.46103383,126.6782479,22,32,193561,1041,746286.222222222
